tf	base_occur	exp_occur	foldchange
POLR2A	4242	393	-0.883348475619199
GABPA	684	654	0.2038993469074146
RAD21	1916	2919	0.9182584612102466
CTCF	1589	3001	1.3779933208692976
CTBP2	1702	472	-0.6508187019135924
ZNF143	1805	2339	0.6316294963301455
RBBP5	3550	510	-0.8191117507967512
USF2	718	286	-0.49845475062521605
USF1	1801	774	-0.4588772660768349
TAF1	4683	546	-0.8531962947203038
POLR2AphosphoS5	2837	381	-0.8309036738201401
E2F6	2881	1229	-0.46287278595986286
TBP	3145	525	-0.7898123542176784
MAX	4345	2093	-0.3934760148841273
MYC	836	237	-0.6430473579436315
EGR1	1535	351	-0.7120830262250648
SIN3A	3372	1240	-0.5369769072914773
ATF3	458	234	-0.3566920600516368
EZH2	596	722	0.5253147504041543
YY1	3045	1182	-0.5112365610729568
TCF12	2445	617	-0.6822578478348484
TAF7	1986	256	-0.8376959887092862
TEAD4	3076	957	-0.6082634096798383
CREB1	2108	948	-0.43375254504910044
KDM4A	3018	862	-0.6403694620597582
SP4	1092	250	-0.7117389909360712
SAP30	844	158	-0.7642871968727297
HDAC2	2566	477	-0.7659383516052136
RFX5	214	73	-0.570485708438502
JUND	1571	594	-0.5239212552328472
RXRA	443	126	-0.6418744130101662
BACH1	1348	435	-0.5936802833069809
MXI1	738	254	-0.5666429292030146
KDM5A	124	36	-0.6344478455380269
SUZ12	618	657	0.3385833746722413
RNF2	234	536	1.884147482687629
CBX8	8	177	26.858120437956206
ASH2L	6166	1192	-0.7565884021393514
CEBPB	1081	360	-0.5806802298493555
EP300	2954	346	-0.8525196566328472
KDM1A	1870	589	-0.6034095788282134
POU5F1	1123	95	-0.8934846052349351
NANOG	2008	283	-0.8225437665396808
CHD2	1305	296	-0.7144055709371591
SP1	4005	505	-0.8412340413898685
REST	136	104	-0.03714040360669811
NRF1	395	64	-0.7959900212510395
ATF2	1826	330	-0.7724474540497757
SIRT6	34	9	-0.6667024474023187
MAFK	807	229	-0.6427020866686565
PHF8	2429	149	-0.9227626640382482
JUN	515	119	-0.70905676422649
FOSL1	121	34	-0.6461965373710563
SIX5	179	32	-0.7749051910451413
SRF	449	129	-0.6382471997789085
GTF2F1	394	58	-0.8146467079180407
SP2	165	13	-0.9007962840079629
BRCA1	138	49	-0.5529197080291971
BCL11A	378	20	-0.9333796779052254
CHD7	1721	98	-0.9283008944892844
CHD1	205	7	-0.9570055189602991
HDAC6	33	9	-0.6566025215660253
ZNF274	5	2	-0.4963503649635037
POLR2A	4242	393	-0.883348475619199
ASH2L	6166	1192	-0.7565884021393514
ATF2	1826	330	-0.7724474540497757
HDAC2	2566	477	-0.7659383516052136
POLR2AphosphoS5	2837	381	-0.8309036738201401
SP1	4005	505	-0.8412340413898685
CTBP2	1702	472	-0.6508187019135924
EP300	2954	346	-0.8525196566328472
MAX	4345	2093	-0.3934760148841273
JUND	1571	594	-0.5239212552328472
CREB1	2108	948	-0.43375254504910044
TEAD4	3076	957	-0.6082634096798383
TCF12	2445	617	-0.6822578478348484
EGR1	1535	351	-0.7120830262250648
RXRA	443	126	-0.6418744130101662
GABPA	684	654	0.2038993469074146
RBBP5	3550	510	-0.8191117507967512
PHF8	2429	149	-0.9227626640382482
TAF1	4683	546	-0.8531962947203038
KDM4A	3018	862	-0.6403694620597582
NRF1	395	64	-0.7959900212510395
CHD2	1305	296	-0.7144055709371591
E2F6	2881	1229	-0.46287278595986286
TBP	3145	525	-0.7898123542176784
MYC	836	237	-0.6430473579436315
USF1	1801	774	-0.4588772660768349
SIN3A	3372	1240	-0.5369769072914773
ATF3	458	234	-0.3566920600516368
USF2	718	286	-0.49845475062521605
RAD21	1916	2919	0.9182584612102466
KDM1A	1870	589	-0.6034095788282134
SP4	1092	250	-0.7117389909360712
SAP30	844	158	-0.7642871968727297
NANOG	2008	283	-0.8225437665396808
BACH1	1348	435	-0.5936802833069809
MXI1	738	254	-0.5666429292030146
YY1	3045	1182	-0.5112365610729568
GTF2F1	394	58	-0.8146467079180407
MAFK	807	229	-0.6427020866686565
ZNF143	1805	2339	0.6316294963301455
CTCF	1589	3001	1.3779933208692976
RFX5	214	73	-0.570485708438502
TAF7	1986	256	-0.8376959887092862
EZH2	596	722	0.5253147504041543
FOSL1	121	34	-0.6461965373710563
CEBPB	1081	360	-0.5806802298493555
RNF2	234	536	1.884147482687629
SIX5	179	32	-0.7749051910451413
CHD7	1721	98	-0.9283008944892844
POU5F1	1123	95	-0.8934846052349351
KDM5A	124	36	-0.6344478455380269
REST	136	104	-0.03714040360669811
SUZ12	618	657	0.3385833746722413
BCL11A	378	20	-0.9333796779052254
JUN	515	119	-0.70905676422649
SRF	449	129	-0.6382471997789085
CHD1	205	7	-0.9570055189602991
SP2	165	13	-0.9007962840079629
HDAC6	33	9	-0.6566025215660253
BRCA1	138	49	-0.5529197080291971
SIRT6	34	9	-0.6667024474023187
CBX8	8	177	26.858120437956206
ZNF274	5	2	-0.4963503649635037
