tf	base_occur	exp_occur	foldchange
CTBP2	1702	1458	0.07861511146182681
SP4	1092	302	-0.651780701050774
SIN3A	3372	1573	-0.4126328025560433
YY1	3045	1212	-0.49883139764841256
EP300	2954	661	-0.7182528700413642
SP1	4005	1087	-0.6582602039421527
GABPA	684	794	0.46161480343193767
CTCF	1589	1988	0.5752918100260459
EZH2	596	2806	4.92802380835742
SUZ12	618	2766	4.635497129898661
RNF2	234	2517	12.543655249859631
KDM4A	3018	3229	0.3471543004745253
MAX	4345	2977	-0.1373043938413984
POLR2A	4242	679	-0.7984570354845704
ATF2	1826	344	-0.7627937096761298
JUND	1571	570	-0.543156760071924
CREB1	2108	1051	-0.3722298785301736
ZNF143	1805	1567	0.09310107770386394
ATF3	458	209	-0.4254215408153508
RBBP5	3550	1564	-0.445276035776704
SP2	165	28	-0.7863304578633046
BACH1	1348	661	-0.3825808442894583
CHD2	1305	336	-0.6758117291719103
RAD21	1916	1919	0.26109557624613333
PHF8	2429	771	-0.600335664251607
POLR2AphosphoS5	2837	488	-0.7834146793286832
TAF1	4683	1205	-0.6760101376153225
TCF12	2445	930	-0.5210693654560924
TBP	3145	920	-0.631671173105265
EGR1	1535	859	-0.29538267671604185
ASH2L	6166	2960	-0.39555509256080557
E2F6	2881	2478	0.08299531032665566
USF1	1801	802	-0.4393017666584258
TAF7	1986	417	-0.7356219816084857
HDAC2	2566	1110	-0.45532823958445934
CBX8	8	927	144.90100364963504
TEAD4	3076	1215	-0.5026541721640579
MAFK	807	247	-0.614617534529075
JUN	515	133	-0.6748281482531359
REST	136	145	0.34244847574066106
NANOG	2008	524	-0.6714237938755925
CHD7	1721	253	-0.8148992480182545
CEBPB	1081	412	-0.5201118186053735
BCL11A	378	62	-0.7934770015061987
MYC	836	263	-0.6038879963678273
MXI1	738	329	-0.4386831642039048
USF2	718	281	-0.5072230242156842
SRF	449	158	-0.5569229268609888
GTF2F1	394	69	-0.7794934973507726
BRCA1	138	61	-0.4434306569343066
KDM1A	1870	870	-0.4142043014949843
NRF1	395	145	-0.5377898918968863
RFX5	214	109	-0.3586704413670783
RXRA	443	178	-0.49407655171277454
SAP30	844	340	-0.4927699173210641
SIX5	179	26	-0.8171104677241773
POU5F1	1123	201	-0.7746358489707574
ZNF274	5	16	3.0291970802919703
HDAC6	33	13	-0.5039814200398142
FOSL1	121	39	-0.5941666163962116
CHD1	205	28	-0.8280220758411964
KDM5A	124	44	-0.5532140334353661
POLR2A	4242	679	-0.7984570354845704
ASH2L	6166	2960	-0.39555509256080557
ATF2	1826	344	-0.7627937096761298
HDAC2	2566	1110	-0.45532823958445934
POLR2AphosphoS5	2837	488	-0.7834146793286832
SP1	4005	1087	-0.6582602039421527
CTBP2	1702	1458	0.07861511146182681
EP300	2954	661	-0.7182528700413642
MAX	4345	2977	-0.1373043938413984
JUND	1571	570	-0.543156760071924
CREB1	2108	1051	-0.3722298785301736
TEAD4	3076	1215	-0.5026541721640579
TCF12	2445	930	-0.5210693654560924
EGR1	1535	859	-0.29538267671604185
RXRA	443	178	-0.49407655171277454
GABPA	684	794	0.46161480343193767
RBBP5	3550	1564	-0.445276035776704
PHF8	2429	771	-0.600335664251607
TAF1	4683	1205	-0.6760101376153225
KDM4A	3018	3229	0.3471543004745253
NRF1	395	145	-0.5377898918968863
CHD2	1305	336	-0.6758117291719103
E2F6	2881	2478	0.08299531032665566
TBP	3145	920	-0.631671173105265
MYC	836	263	-0.6038879963678273
USF1	1801	802	-0.4393017666584258
SIN3A	3372	1573	-0.4126328025560433
ATF3	458	209	-0.4254215408153508
USF2	718	281	-0.5072230242156842
RAD21	1916	1919	0.26109557624613333
KDM1A	1870	870	-0.4142043014949843
SP4	1092	302	-0.651780701050774
SAP30	844	340	-0.4927699173210641
NANOG	2008	524	-0.6714237938755925
BACH1	1348	661	-0.3825808442894583
MXI1	738	329	-0.4386831642039048
YY1	3045	1212	-0.49883139764841256
GTF2F1	394	69	-0.7794934973507726
MAFK	807	247	-0.614617534529075
ZNF143	1805	1567	0.09310107770386394
CTCF	1589	1988	0.5752918100260459
RFX5	214	109	-0.3586704413670783
TAF7	1986	417	-0.7356219816084857
EZH2	596	2806	4.92802380835742
FOSL1	121	39	-0.5941666163962116
CEBPB	1081	412	-0.5201118186053735
RNF2	234	2517	12.543655249859631
SIX5	179	26	-0.8171104677241773
CHD7	1721	253	-0.8148992480182545
POU5F1	1123	201	-0.7746358489707574
KDM5A	124	44	-0.5532140334353661
REST	136	145	0.34244847574066106
SUZ12	618	2766	4.635497129898661
BCL11A	378	62	-0.7934770015061987
JUN	515	133	-0.6748281482531359
SRF	449	158	-0.5569229268609888
CHD1	205	28	-0.8280220758411964
SP2	165	28	-0.7863304578633046
HDAC6	33	13	-0.5039814200398142
BRCA1	138	61	-0.4434306569343066
SIRT6	34	0	nan
CBX8	8	927	144.90100364963504
ZNF274	5	16	3.0291970802919703
