tf	base_occur	exp_occur	foldchange
CTBP2	472	1458	2.0889830508474576
SP4	250	302	0.20800000000000002
SIN3A	1240	1573	0.26854838709677414
YY1	1182	1212	0.02538071065989844
EP300	346	661	0.9104046242774567
SP1	505	1087	1.1524752475247524
GABPA	654	794	0.2140672782874618
CTCF	3001	1988	-0.3375541486171276
EZH2	722	2806	2.886426592797784
SUZ12	657	2766	3.2100456621004567
RNF2	536	2517	3.6958955223880596
KDM4A	862	3229	2.7459396751740144
MAX	2093	2977	0.4223602484472051
POLR2A	393	679	0.7277353689567431
ATF2	330	344	0.04242424242424246
JUND	594	570	-0.04040404040404037
CREB1	948	1051	0.10864978902953577
ZNF143	2339	1567	-0.3300555793073964
ATF3	234	209	-0.10683760683760682
RBBP5	510	1564	2.066666666666667
SP2	13	28	1.1538461538461537
BACH1	435	661	0.5195402298850575
CHD2	296	336	0.13513513513513517
RAD21	2919	1919	-0.34258307639602603
PHF8	149	771	4.174496644295301
POLR2AphosphoS5	381	488	0.28083989501312334
TAF1	546	1205	1.206959706959707
TCF12	617	930	0.507293354943274
TBP	525	920	0.7523809523809522
EGR1	351	859	1.447293447293447
ASH2L	1192	2960	1.4832214765100669
E2F6	1229	2478	1.0162733930024408
USF1	774	802	0.03617571059431516
TAF7	256	417	0.62890625
HDAC2	477	1110	1.3270440251572329
CBX8	177	927	4.237288135593221
TEAD4	957	1215	0.26959247648902823
MAFK	229	247	0.07860262008733608
JUN	119	133	0.11764705882352931
REST	104	145	0.394230769230769
NANOG	283	524	0.8515901060070672
CHD7	98	253	1.5816326530612246
CEBPB	360	412	0.14444444444444446
BCL11A	20	62	2.1
MYC	237	263	0.10970464135021098
MXI1	254	329	0.295275590551181
USF2	286	281	-0.017482517482517355
SRF	129	158	0.2248062015503875
GTF2F1	58	69	0.18965517241379315
BRCA1	49	61	0.24489795918367338
KDM1A	589	870	0.4770797962648557
NRF1	64	145	1.265625
RFX5	73	109	0.49315068493150677
RXRA	126	178	0.4126984126984128
SAP30	158	340	1.1518987341772153
SIX5	32	26	-0.18749999999999986
POU5F1	95	201	1.1157894736842104
ZNF274	2	16	7.000000000000001
HDAC6	9	13	0.4444444444444446
FOSL1	34	39	0.14705882352941166
CHD1	7	28	3.0
KDM5A	36	44	0.2222222222222222
POLR2A	393	679	0.7277353689567431
GABPA	654	794	0.2140672782874618
RAD21	2919	1919	-0.34258307639602603
CTCF	3001	1988	-0.3375541486171276
CTBP2	472	1458	2.0889830508474576
ZNF143	2339	1567	-0.3300555793073964
RBBP5	510	1564	2.066666666666667
USF2	286	281	-0.017482517482517355
USF1	774	802	0.03617571059431516
TAF1	546	1205	1.206959706959707
POLR2AphosphoS5	381	488	0.28083989501312334
E2F6	1229	2478	1.0162733930024408
TBP	525	920	0.7523809523809522
MAX	2093	2977	0.4223602484472051
MYC	237	263	0.10970464135021098
EGR1	351	859	1.447293447293447
SIN3A	1240	1573	0.26854838709677414
ATF3	234	209	-0.10683760683760682
EZH2	722	2806	2.886426592797784
YY1	1182	1212	0.02538071065989844
TCF12	617	930	0.507293354943274
TAF7	256	417	0.62890625
TEAD4	957	1215	0.26959247648902823
CREB1	948	1051	0.10864978902953577
KDM4A	862	3229	2.7459396751740144
SP4	250	302	0.20800000000000002
SAP30	158	340	1.1518987341772153
HDAC2	477	1110	1.3270440251572329
RFX5	73	109	0.49315068493150677
JUND	594	570	-0.04040404040404037
RXRA	126	178	0.4126984126984128
BACH1	435	661	0.5195402298850575
MXI1	254	329	0.295275590551181
KDM5A	36	44	0.2222222222222222
SUZ12	657	2766	3.2100456621004567
RNF2	536	2517	3.6958955223880596
CBX8	177	927	4.237288135593221
ASH2L	1192	2960	1.4832214765100669
CEBPB	360	412	0.14444444444444446
EP300	346	661	0.9104046242774567
KDM1A	589	870	0.4770797962648557
POU5F1	95	201	1.1157894736842104
NANOG	283	524	0.8515901060070672
CHD2	296	336	0.13513513513513517
SP1	505	1087	1.1524752475247524
REST	104	145	0.394230769230769
NRF1	64	145	1.265625
ATF2	330	344	0.04242424242424246
SIRT6	9	0	nan
MAFK	229	247	0.07860262008733608
PHF8	149	771	4.174496644295301
JUN	119	133	0.11764705882352931
FOSL1	34	39	0.14705882352941166
SIX5	32	26	-0.18749999999999986
SRF	129	158	0.2248062015503875
GTF2F1	58	69	0.18965517241379315
SP2	13	28	1.1538461538461537
BRCA1	49	61	0.24489795918367338
BCL11A	20	62	2.1
CHD7	98	253	1.5816326530612246
CHD1	7	28	3.0
HDAC6	9	13	0.4444444444444446
ZNF274	2	16	7.000000000000001
