tf	base_occur	exp_occur	foldchange
EZH2	1969	1707	1.3631004057658098
SUZ12	1939	1646	1.3347258261801709
RNF2	1675	1505	1.41273833711026
EP300	605	753	1.9569496127385229
GABPA	1224	279	0.3583957306744687
KDM4A	2516	1714	1.0711251654333729
MAX	3695	1880	0.7999879559897697
POLR2A	749	539	1.1314802808631403
ATF2	482	350	1.1417237839716714
SP4	420	179	0.6701064260782847
YY1	1871	880	0.7395183022210035
JUND	940	433	0.7242693132449592
CREB1	1568	626	0.6277233979324713
ZNF143	3575	797	0.3505276791271556
ATF3	396	118	0.46851862869533023
RBBP5	1271	979	1.2110921338270972
CTCF	4660	1003	0.3384192498258545
SP2	26	24	1.4513693113169552
BACH1	810	396	0.7686881908086097
CHD2	473	234	0.7778480347121526
SP1	872	1126	2.0303081019741582
RAD21	4468	1084	0.38146628497236895
PHF8	528	416	1.23879501824528
POLR2AphosphoS5	626	436	1.0950960139169998
TAF1	1122	794	1.1126733534918012
TCF12	962	890	1.4546381611172188
SIN3A	2037	1075	0.8297695191316663
TBP	1020	530	0.8169881172364234
CTBP2	1106	961	1.366181193963436
ASH2L	2478	2102	1.3337408461476703
E2F6	2527	1476	0.9183773362864311
EGR1	702	610	1.366258147998986
USF1	1207	677	0.8819042604874706
TAF7	517	218	0.6629884958530387
HDAC2	998	755	1.1894781054255106
CBX8	566	563	1.563982919541931
MAFK	348	262	1.1837557170367696
JUN	177	135	1.1992246428254505
POU5F1	107	330	4.849201203699173
NANOG	437	624	2.24513879736902
CHD7	156	326	3.2857388575647737
TEAD4	1497	1175	1.2341163566224946
CEBPB	588	382	1.0214710884353742
BCL11A	24	101	6.616833006108202
MYC	412	131	0.4999356669038785
MXI1	442	217	0.7719292660680865
USF2	454	206	0.713430068962336
KDM1A	994	678	1.0724655524771665
RFX5	119	93	1.2287853623124643
RXRA	200	160	1.2578534031413613
SRF	224	118	0.8282740043006731
SAP30	303	240	1.245399409050853
REST	192	96	0.7861583769633508
SIX5	48	46	1.5068035558464223
KDM5A	68	20	0.4624461040960887
FOSL1	57	23	0.6344436024616515
ZNF274	1	24	37.73560209424083
HDAC6	9	17	2.9699316463059917
NRF1	130	86	1.040148006443818
CHD1	25	17	1.069175392670157
GTF2F1	105	31	0.46420780354026425
BRCA1	98	24	0.3850571642269473
SIRT6	9	1	0.1747018615474113
CTBP2	1106	961	1.366181193963436
SP4	420	179	0.6701064260782847
SIN3A	2037	1075	0.8297695191316663
YY1	1871	880	0.7395183022210035
EP300	605	753	1.9569496127385229
SP1	872	1126	2.0303081019741582
GABPA	1224	279	0.3583957306744687
CTCF	4660	1003	0.3384192498258545
EZH2	1969	1707	1.3631004057658098
POLR2A	749	539	1.1314802808631403
RAD21	4468	1084	0.38146628497236895
SUZ12	1939	1646	1.3347258261801709
RBBP5	1271	979	1.2110921338270972
KDM4A	2516	1714	1.0711251654333729
PHF8	528	416	1.23879501824528
TBP	1020	530	0.8169881172364234
CREB1	1568	626	0.6277233979324713
ZNF143	3575	797	0.3505276791271556
USF2	454	206	0.713430068962336
USF1	1207	677	0.8819042604874706
TAF1	1122	794	1.1126733534918012
POLR2AphosphoS5	626	436	1.0950960139169998
E2F6	2527	1476	0.9183773362864311
MAX	3695	1880	0.7999879559897697
MYC	412	131	0.4999356669038785
EGR1	702	610	1.366258147998986
ATF3	396	118	0.46851862869533023
TCF12	962	890	1.4546381611172188
TAF7	517	218	0.6629884958530387
TEAD4	1497	1175	1.2341163566224946
SAP30	303	240	1.245399409050853
BACH1	810	396	0.7686881908086097
HDAC2	998	755	1.1894781054255106
RFX5	119	93	1.2287853623124643
JUND	940	433	0.7242693132449592
RXRA	200	160	1.2578534031413613
ASH2L	2478	2102	1.3337408461476703
MXI1	442	217	0.7719292660680865
KDM5A	68	20	0.4624461040960887
RNF2	1675	1505	1.41273833711026
CBX8	566	563	1.563982919541931
CEBPB	588	382	1.0214710884353742
REST	192	96	0.7861583769633508
KDM1A	994	678	1.0724655524771665
MAFK	348	262	1.1837557170367696
NANOG	437	624	2.24513879736902
CHD1	25	17	1.069175392670157
CHD2	473	234	0.7778480347121526
SRF	224	118	0.8282740043006731
GTF2F1	105	31	0.46420780354026425
BRCA1	98	24	0.3850571642269473
ATF2	482	350	1.1417237839716714
NRF1	130	86	1.040148006443818
SIX5	48	46	1.5068035558464223
SIRT6	9	1	0.1747018615474113
POU5F1	107	330	4.849201203699173
JUN	177	135	1.1992246428254505
FOSL1	57	23	0.6344436024616515
CHD7	156	326	3.2857388575647737
SP2	26	24	1.4513693113169552
BCL11A	24	101	6.616833006108202
ZNF274	1	24	37.73560209424083
HDAC6	9	17	2.9699316463059917
