tf	base_occur	exp_occur	foldchange
EZH2	630	1707	4.625962197706308
SUZ12	649	1646	4.330063266886632
RNF2	248	1505	10.360815186412768
EP300	3964	753	0.32431754078592145
GABPA	740	279	0.6436971575633225
KDM4A	3225	1714	0.9073820974877227
MAX	5057	1880	0.6347080455581243
POLR2A	5012	539	0.18360597524057445
ATF2	2387	350	0.2503368211757842
SP4	1252	179	0.24409439660940402
YY1	3701	880	0.40595013941329006
JUND	1997	433	0.37018510422702117
CREB1	2424	626	0.44091089000915795
ZNF143	2102	797	0.647343389616471
ATF3	540	118	0.3730760374248594
RBBP5	4017	979	0.4160925767712353
CTCF	1802	1003	0.9502880198557739
SP2	184	24	0.2226909287502845
BACH1	1531	396	0.4416000389848883
CHD2	1553	234	0.2572488900051581
SP1	5089	1126	0.37775919779752865
RAD21	2230	1084	0.8299148334233325
PHF8	2561	416	0.2773274510325032
POLR2AphosphoS5	3359	436	0.22160808112611424
TAF1	5433	794	0.2495111197519907
TCF12	3090	890	0.4917457725478236
SIN3A	3838	1075	0.47820333622987543
TBP	3637	530	0.2487950161732168
CTBP2	1992	961	0.823650869840619
ASH2L	7298	2102	0.49174274419298697
E2F6	3347	1476	0.752904257465856
EGR1	1730	610	0.6019949384135823
USF1	2216	677	0.5215885155792239
TAF7	2254	218	0.16512456621619737
HDAC2	3019	755	0.42696565946214976
CBX8	8	563	120.15103484947643
MAFK	1048	262	0.426824280104712
JUN	694	135	0.33211111132066934
POU5F1	1650	330	0.3414594240837696
NANOG	2686	624	0.3966319445798069
CHD7	2497	326	0.22289902333061454
TEAD4	3925	1175	0.5111016857304832
CEBPB	1395	382	0.4675179211469534
BCL11A	520	101	0.3316096330044301
MYC	946	131	0.23642275134764176
MXI1	844	217	0.4389614634252252
USF2	870	206	0.4042565595474514
KDM1A	2279	678	0.5079190204668622
RFX5	248	93	0.6402364201570682
RXRA	511	160	0.5345744408356472
SRF	550	118	0.3662928367444074
SAP30	935	240	0.4382366940112551
REST	172	96	0.9529100206988919
SIX5	249	46	0.3154042873062932
KDM5A	133	20	0.2567364090855411
FOSL1	136	23	0.2887340718355405
ZNF274	9	24	4.552792321116928
HDAC6	41	17	0.7079036840761078
NRF1	427	86	0.34385843643096237
CHD1	249	17	0.11656245400449966
GTF2F1	447	31	0.11840315600220201
BRCA1	164	24	0.24984835908568512
SIRT6	41	1	0.04164139318094752
POLR2A	5012	539	0.18360597524057445
ASH2L	7298	2102	0.49174274419298697
ATF2	2387	350	0.2503368211757842
HDAC2	3019	755	0.42696565946214976
POLR2AphosphoS5	3359	436	0.22160808112611424
SP1	5089	1126	0.37775919779752865
CTBP2	1992	961	0.823650869840619
EP300	3964	753	0.32431754078592145
MAX	5057	1880	0.6347080455581243
JUND	1997	433	0.37018510422702117
CREB1	2424	626	0.44091089000915795
TEAD4	3925	1175	0.5111016857304832
TCF12	3090	890	0.4917457725478236
EGR1	1730	610	0.6019949384135823
RXRA	511	160	0.5345744408356472
GABPA	740	279	0.6436971575633225
RBBP5	4017	979	0.4160925767712353
PHF8	2561	416	0.2773274510325032
TAF1	5433	794	0.2495111197519907
KDM4A	3225	1714	0.9073820974877227
NRF1	427	86	0.34385843643096237
CHD2	1553	234	0.2572488900051581
E2F6	3347	1476	0.752904257465856
TBP	3637	530	0.2487950161732168
MYC	946	131	0.23642275134764176
USF1	2216	677	0.5215885155792239
SIN3A	3838	1075	0.47820333622987543
ATF3	540	118	0.3730760374248594
USF2	870	206	0.4042565595474514
RAD21	2230	1084	0.8299148334233325
KDM1A	2279	678	0.5079190204668622
SP4	1252	179	0.24409439660940402
SAP30	935	240	0.4382366940112551
NANOG	2686	624	0.3966319445798069
BACH1	1531	396	0.4416000389848883
MXI1	844	217	0.4389614634252252
YY1	3701	880	0.40595013941329006
GTF2F1	447	31	0.11840315600220201
MAFK	1048	262	0.426824280104712
ZNF143	2102	797	0.647343389616471
CTCF	1802	1003	0.9502880198557739
RFX5	248	93	0.6402364201570682
TAF7	2254	218	0.16512456621619737
EZH2	630	1707	4.625962197706308
FOSL1	136	23	0.2887340718355405
CEBPB	1395	382	0.4675179211469534
RNF2	248	1505	10.360815186412768
SIX5	249	46	0.3154042873062932
CHD7	2497	326	0.22289902333061454
POU5F1	1650	330	0.3414594240837696
KDM5A	133	20	0.2567364090855411
BCL11A	520	101	0.3316096330044301
JUN	694	135	0.33211111132066934
REST	172	96	0.9529100206988919
SUZ12	649	1646	4.330063266886632
SRF	550	118	0.3662928367444074
BRCA1	164	24	0.24984835908568512
SIRT6	41	1	0.04164139318094752
CHD1	249	17	0.11656245400449966
SP2	184	24	0.2226909287502845
HDAC6	41	17	0.7079036840761078
CBX8	8	563	120.15103484947643
ZNF274	9	24	4.552792321116928
CBX5	1	0	nan
