# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
pattern specification process	61	3.47213e-100	7.490124372131148e-98	2.29948	778	0.1272906	36	1.3939975684166668e-28	2.023145	215	405	0.0436371	
regionalization	74	8.304178e-96	1.4766848419189187e-93	2.458902	659	0.1078207	39	5.940121060512821e-28	2.162033	177	312	0.0359245	
embryonic organ development	91	1.354305e-80	1.9583845598901096e-78	2.127063	741	0.1212369	42	1.2526992028571427e-27	1.987577	218	418	0.04424599	
cell fate commitment	98	5.8108e-73	7.802481346938776e-71	2.310368	569	0.09309555	65	2.4466994326153844e-23	2.24969	134	227	0.02719708	
embryonic organ morphogenesis	101	2.181785e-70	2.842585031188119e-68	2.27788	565	0.0924411	63	7.133414528253968e-24	2.129301	157	281	0.03186523	
anterior/posterior pattern specification	106	3.486925e-62	4.328721327830188e-60	2.582908	396	0.06479058	143	8.428394712587414e-15	2.061073	106	196	0.02151411	
cell differentiation in spinal cord	116	6.837603e-48	7.756553265258622e-46	3.569236	188	0.03075916	150	2.5509739129333338e-14	3.078149	42	52	0.008524457	
neuron fate commitment	117	2.376802e-46	2.673191240854701e-44	2.918684	241	0.03943063	131	1.998061555496183e-15	2.872089	52	69	0.01055409	
axis specification	122	1.245245e-43	1.3431294225409836e-41	2.890304	230	0.03763089	276	1.4858475314492754e-8	2.208672	51	88	0.01035113	
cell fate specification	124	2.198767e-43	2.333352818790322e-41	2.740843	249	0.04073953	180	9.253759706666668e-12	2.593625	49	72	0.0099452	
dorsal/ventral pattern formation	132	7.825961e-40	7.801653090833333e-38	2.72015	231	0.0377945	161	2.8809816029192547e-13	2.555639	57	85	0.01156891	
endocrine system development	133	3.440329e-39	3.4038563391729323e-37	2.375385	290	0.04744764	184	1.3146777863586956e-11	2.204735	70	121	0.01420743	
neuron fate specification	137	9.468484e-38	9.094582551532848e-36	3.42751	155	0.02535995	212	1.7522853374999998e-10	3.233611	28	33	0.005682971	
neural tube patterning	140	4.736632e-36	4.452095749142857e-34	4.02792	121	0.01979712	566	0.0003195711973144876	2.353878	21	34	0.004262229	
palate development	143	7.746828e-35	7.12870696867133e-33	2.456325	241	0.03943063	171	1.8979502731578948e-12	2.444037	59	92	0.01197483	
skeletal system morphogenesis	152	9.679603e-33	8.379861570855263e-31	2.003855	350	0.0572644	139	6.0075824059712235e-15	2.033777	111	208	0.02252892	
spinal cord development	153	9.925025e-33	8.536170194444444e-31	2.400764	236	0.03861257	169	1.0804699172189348e-12	2.411067	62	98	0.01258372	
dorsal spinal cord development	155	5.240377e-32	4.448911028580645e-30	5.118854	83	0.01357984	294	4.720889718707483e-8	3.448085	19	21	0.003856302	
neural tube development	156	7.109057e-32	5.9966718630128205e-30	2.198232	275	0.04499346	384	0.0000038069432486979167	1.745703	71	155	0.01441039	
rostrocaudal neural tube patterning	158	2.300769e-31	1.9161910931012658e-29	6.471142	66	0.01079843	666	0.0011640599586936937	3.175868	10	12	0.002029633	
spinal cord association neuron differentiation	159	8.849617e-31	7.324032081949685e-29	6.434897	65	0.01063482	406	0.000009487992283497538	3.538824	13	14	0.002638522	
metanephros development	168	9.069994e-29	7.104288752738096e-27	2.362065	213	0.03484948	183	1.0877229399999997e-11	2.493644	53	81	0.01075705	
odontogenesis	178	5.823403e-27	4.305065172865169e-25	2.234655	223	0.0364856	440	0.000024508700304318184	1.834946	52	108	0.01055409	
ear morphogenesis	185	1.252774e-25	8.910947603243243e-24	2.080967	248	0.04057592	155	1.1710228058709676e-13	2.360822	70	113	0.01420743	
cell fate determination	188	3.918251e-25	2.742567282393617e-23	2.663122	148	0.02421466	330	3.4877315413333333e-7	2.667729	28	40	0.005682971	
ventral spinal cord development	190	1.215902e-24	8.421081272631579e-23	2.673019	144	0.02356021	239	1.0536069936820085e-9	2.858281	33	44	0.006697788	
cranial skeletal system development	194	2.677453e-24	1.8161136096391753e-22	2.458154	165	0.02699607	257	4.733231881245137e-9	2.462519	42	65	0.008524457	
skeletal muscle organ development	195	2.889379e-24	1.9498122185128205e-22	2.253682	196	0.03206806	618	0.0007994480030420713	1.624863	55	129	0.01116298	
skeletal muscle tissue development	197	4.078968e-24	2.724626391472081e-22	2.31601	184	0.03010471	844	0.0066427099736966816	1.543314	49	121	0.0099452	
ureteric bud development	207	1.038677e-22	6.6028747067632854e-21	2.0781	219	0.03583115	161	2.8809816029192547e-13	2.555639	57	85	0.01156891	
