# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
sequence-specific DNA binding	1	3.855077e-215	1.6276135094e-211	2.228515	1637	0.2678338	1	2.5354393488e-43	1.765114	484	1045	0.09823422	
regulatory region DNA binding	4	1.845972e-154	1.948423446e-151	2.139587	1327	0.2171139	4	2.0923292605e-38	1.802155	401	848	0.08138827	
transcription regulatory region DNA binding	5	6.541282e-154	5.5234585207999994e-151	2.137809	1325	0.2167866	5	2.2137761460000002e-38	1.801911	400	846	0.08118531	
regulatory region nucleic acid binding	6	9.320688e-154	6.558657456e-151	2.134362	1328	0.2172775	3	1.484949174e-38	1.804521	402	849	0.08159123	
RNA polymerase II transcription factor activity, sequence-specific DNA binding	7	3.042939e-142	1.8353269225714287e-139	2.094043	1288	0.210733	2	1.8294375643e-42	1.89557	381	766	0.077329	
transcription regulatory region sequence-specific DNA binding	8	3.297065e-131	1.74002605375e-128	2.152155	1135	0.1857003	9	4.629642544000001e-31	1.800882	327	692	0.06636899	
sequence-specific double-stranded DNA binding	9	1.461423e-129	6.855697673333333e-127	2.119531	1157	0.1892997	11	8.943953887272727e-31	1.772577	340	731	0.06900751	
double-stranded DNA binding	10	9.702617e-125	4.0964448974000003e-122	2.054931	1192	0.1950262	12	3.1562415955e-27	1.686468	358	809	0.07266085	
RNA polymerase II regulatory region DNA binding	11	1.299796e-121	4.988853374545454e-119	2.179998	1033	0.1690118	7	5.150700070857143e-33	1.883761	303	613	0.06149787	
RNA polymerase II regulatory region sequence-specific DNA binding	12	1.519149e-121	5.344872565e-119	2.18265	1030	0.1685209	8	5.9462595225e-33	1.88369	302	611	0.06129491	
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	18	4.802656e-83	1.1264896462222223e-80	2.103134	781	0.1277814	6	3.9503790373333335e-33	2.115128	222	400	0.04505784	
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	19	2.933269e-80	6.518032483157895e-78	2.128514	737	0.1205825	13	1.2129374056923078e-26	1.979882	213	410	0.04323118	
core promoter proximal region DNA binding	20	1.137767e-69	2.4018261369999996e-67	2.097088	665	0.1088024	14	3.91117636e-23	1.95077	194	379	0.03937487	
core promoter proximal region sequence-specific DNA binding	21	6.605284e-67	1.3279766213333333e-64	2.076203	654	0.1070026	15	9.544621921333333e-23	1.946064	192	376	0.03896895	
RNA polymerase II core promoter proximal region sequence-specific DNA binding	22	6.801207e-60	1.3052134524545455e-57	2.039568	612	0.1001309	16	1.182356323e-21	1.94247	184	361	0.03734524	
transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	23	4.838035e-52	8.88094946521739e-50	2.050569	527	0.08622382	17	1.8129906267058827e-21	2.086336	150	274	0.03044449	
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding	24	5.017362e-52	8.826375984999999e-50	2.213724	445	0.07280759	18	1.4232127444444447e-14	1.989836	118	226	0.02394967	
transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	29	5.95303e-39	8.666790572413793e-37	2.347326	295	0.04826571	19	3.5373493694736844e-11	2.149083	75	133	0.01522224	
activating transcription factor binding	37	1.280733e-19	1.4614201962162163e-17	2.394111	138	0.02257853	57	0.000757206070877193	1.963264	34	66	0.006900751	
HMG box domain binding	39	9.139249e-18	9.893822891794873e-16	3.519991	67	0.01096204	32	0.000005688808559375	3.387592	16	18	0.003247412	
